Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
Latvia,LVA,34390910338.9604,18096.202707339373,62.9495923148127,15.6502562923947,21.4001513927926,53.7645778818925,46.2354221181075,1900449,0.2,0.9,99,99,30,3.645612168492814,1952.810529,11436.59559,96.5399613194845,NA,98.5805896627032
Lebanon,LBN,31712128253.796097,5599.957522607335,62.8148605574488,27.8350661102874,9.3500733322638,51.4688085993753,48.5312090593497,5662923,NA,NA,74,71,4.6875,3.7921935368006947,3459.013432,28947.43775,47.7,NA,NA
Lesotho,LSO,2067813018.9946537,917.3563812584418,61.5615988642917,34.2274521982166,4.21094893749168,50.6594649749346,49.3405350250654,2254100,NA,NA,90,87,23.3333333333333,1.025642163169336,998.828453,4013.753971,27.5216836619161,72.3769216980118,65.3644097799695
Liberia,LBR,3039982500,597.5296918930478,55.168243397235,41.456589074835,3.37516752793,50.2425316220823,49.7574880336128,5087584,NA,NA,61,65,12.3287671232877,0.23183892393717725,338.868895,2155.394887,NA,NA,64.3034337744168
Libya,LBY,46808208746.08388,7034.658364332583,65.7951557137108,29.3998354659539,4.80500882033537,49.3539468784068,50.6460531215932,6653942,NA,NA,73,73,15.9574468085106,6.68280547080212,24033.12005,75370.28088,NA,NA,NA
Liechtenstein,LIE,6405870210.32293,165287.18676651176,66.8851274641346,14.6403137578698,18.4745587779957,50.402518319744,49.6000619258953,38756,NA,NA,NA,NA,12,3.663847997729384,2.588257,157.560064,100,NA,NA
Lithuania,LTU,56964942999.365135,20381.855782747818,64.5098610361822,15.070100644744,20.4200383190737,53.1534071064903,46.8465928935097,2794885,0.1,0.6,90,91,26.9503546099291,4.18400041504391,2998.360922,19784.73208,94.9237932740768,99.3242989856502,93.782780229154
Luxembourg,LUX,73699366700.21344,116905.37039685264,69.4608736206168,15.9809771422725,14.5581492371108,49.6823440392513,50.3176559607487,630419,0,0,99,99,30,12.456953232691275,555.763012,8813.977022,99.5200654420875,99.8,98.5952380952381
"Macao SAR, China",MAC,25343525935.835773,37474.73459459394,73.9855947879808,14.3349012173898,11.6795039946295,53.0292791627174,46.9707208372826,676283,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA
Madagascar,MDG,13051441203.947355,462.4042288183828,57.0341446757649,39.7196559603445,3.2461993638906,49.873033568576,50.1269628884878,28225177,NA,NA,55,68,17.8807947019868,0.09726954059490929,19021.93937,30566.42841,20.7635333183938,39.0309816470545,34.948545257621
Malawi,MWI,12056108778.31254,622.1845912707062,53.4832745408792,43.7277267247152,2.78899873440563,51.3922260966201,48.6077739033799,19377061,NA,NA,90,94,22.9166666666667,0.08463615818725037,4389.696958,11982.42756,16.4864046136865,50.9074560603552,66.967289727426
Malaysia,MYS,337456163961.2112,10164.344431072957,69.7111909029619,23.2770892451694,7.01171985186864,48.8368205378838,51.1631794621161,33199993,NA,NA,95,98,14.8648648648649,7.383715412229153,37175.59793,302088.6631,93.8182200650099,NA,90.197448124402
Maldives,MDV,3712604580.320812,7216.816371109468,73.8265835727532,21.7894090249943,4.38400740225256,42.2433801546542,57.7566198453458,514438,NA,NA,98,99,4.59770114942529,2.8263852981311643,137.66522,1994.511834,NA,NA,99.9190125
Mali,MLI,17465392764.370636,822.9061368321317,49.8961366450497,47.6079883942925,2.49587496065782,49.4990633263036,50.5009366736964,21224040,NA,NA,62,70,27.891156462585,0.19556597141731732,23070.48212,43491.51296,NA,NA,71.0587011756328
Malta,MLT,15252609039.074888,29597.63616285208,67.9599424089662,13.1987860865651,18.8412715044687,48.2086239080406,51.7913760919594,515332,0.1,0.5,95,98,13.4328358208955,3.125557892775919,228.28561,2082.169141,99.8076855516282,NA,100
Marshall Islands,MHL,240751144.40918,5545.600267412526,61.9692031280592,34.1195711011552,3.91122577078558,48.8885817612236,51.1137216962661,43413,NA,NA,89,82,6.06060606060606,2.5338032386612306,31.91103,164.923162,NA,NA,88.3371175513852
Mauritania,MRT,8260752385.230893,1836.2924109859177,54.31916815963,42.3760951593089,3.30473668106113,51.0421899771574,48.9578100228426,4498604,NA,NA,70,72,20.2614379084967,0.8551764058361215,6896.748571,14056.36818,NA,NA,52.4739033961944
Mauritius,MUS,11408106446.31438,9011.042884450235,71.1871569989078,17.0297285270962,11.783114473996,50.6196506779019,49.3802722702854,1266014,NA,NA,89,93,20,2.938514108058836,1973.725821,6435.739403,NA,NA,99.9929102227626
Mexico,MEX,1120741118380.2666,8894.890650036432,66.6419602489641,25.3368030520634,8.02123669897249,51.1204119242813,48.8795880757187,125998302,0.6,10,92,72,48.2,3.040766374772257,143480.8889,592321.1717,42.8921018203856,NA,96.7237740049409
"Micronesia, Fed. Sts.",FSM,408000000,3639.412698695877,63.2858041237573,31.1551961750657,5.55899970117701,49.6797673630314,50.3211246498849,112106,NA,NA,79,83,0,0.9589138850730559,52.686594,194.111345,NA,NA,NA
Moldova,MDA,11531967881.062355,4376.242493183393,66.9953647620125,19.6493213439759,13.3553138940116,52.4944024776593,47.5055975223407,2635130,NA,NA,84,86,24.7524752475248,3.2678463681108716,3287.202022,12985.65753,74.4959377621607,NA,86.4192805358073
Monaco,MCO,6739645416.479156,182537.38737010874,51.5370239965332,12.6130762147229,35.8498997887438,50.9912789123016,49.0087210876984,36922,NA,NA,88,99,33.3333333333333,NA,NA,NA,100,100,NA
Mongolia,MNG,13312981429.08905,4041.1741456436735,63.5377094314938,32.2020073854056,4.26028318310069,50.3361376423466,49.6638623576534,3294335,NA,NA,97,96,17.3333333333333,6.43064533509798,18159.40469,53921.45499,37.397381385685,49.3406878707031,56.8443179809354
Montenegro,MNE,4769996866.007579,7677.371321068167,65.8276203307381,18.2062562843029,15.966123384959,51.2571377700907,48.7427032595287,621306,0.8,5,24,84,22.2222222222222,4.06756091201437,783.237121,3764.437423,85.072199534961,87.31913,98.1618875437715
Morocco,MAR,121353645057.14369,3258.26904296875,65.7570777478881,27.0916484625276,7.15127378958437,49.6441145536296,50.3558854463704,36688772,NA,NA,99,99,20.5063291139241,1.8185263873099922,12029.80502,88027.79761,73.9121802066915,90.1022690054183,63.8387120737167
Mozambique,MOZ,14235420505.290434,456.58192899510567,53.5364024247809,43.8634715706682,2.6001260045508,50.948804388856,49.051195611144,31178239,NA,NA,81,79,42.4,0.22276755271521267,16255.45655,33749.36732,NA,NA,44.7569788541447
Myanmar,MMR,79045695084.50691,1479.6136892536256,68.4222329782654,25.1236148386325,6.45415218310218,50.1973356218772,49.8026643781228,53423198,NA,NA,91,84,16.8253968253968,0.6340803483909743,72110.01694,128949.3985,56.7710258366465,72.0587747003397,75.0798528148565
